critic_score,release_date,title,user_score,combined_score,score_gap
63.0,1900-10-29,Close to the Sun,1.8,64.8,-45.0
69.0,1900-10-29,Afterparty,6.1,75.1,-8.0
82.0,1900-10-29,Disgaea 4 Complete+,5.8,87.8,-24.0
79.0,1900-10-29,Atelier Ryza: Ever Darkness & the Secret Hideout,8.0,87.0,1.0
62.0,1900-10-29,Super Monkey Ball: Banana Blitz HD,6.3,68.3,1.0
78.0,1900-10-29,Disney Classic Games: Aladdin and the Lion King,2.9,80.9,-49.0
67.0,1900-10-25,MediEvil,8.4,75.4,17.0
86.0,1900-10-25,The Outer Worlds,8.4,94.4,-2.0
82.0,1900-10-25,Call of Duty: Modern Warfare,3.2,85.2,-50.0
83.0,1900-10-22,The Legend of Heroes: Trails of Cold Steel III,8.7,91.7,4.0
41.0,1900-10-22,WWE 2K20,1.4,42.4,-27.0
78.0,1900-10-18,Plants vs. Zombies: Battle for Neighborville,5.6,83.6,-22.0
61.0,1900-10-17,Monkey King: Hero is Back,7.1,68.1,10.0
68.0,1900-10-17,Travis Strikes Again: No More Heroes - Complete Edition,3.0,71.0,-38.0
78.0,1900-10-15,Children of Morta,7.5,85.5,-3.0
81.0,1900-10-15,Outer Wilds,6.3,87.3,-18.0
75.0,1900-10-15,The Ninja Saviors: Return of the Warriors,5.1,80.1,-24.0
78.0,1900-10-15,Baldur's Gate and Baldur's Gate II: Enhanced Editions,5.3,83.3,-25.0
87.0,1900-10-11,Frostpunk: Console Edition,7.5,94.5,-12.0
73.0,1900-10-11,GRID,5.3,78.3,-20.0
68.0,1900-10-10,A Knight's Quest,3.0,71.0,-38.0
79.0,1900-10-08,Indivisible,7.0,86.0,-9.0
75.0,1900-10-08,Concrete Genie,8.3,83.3,8.0
80.0,1900-10-08,Trine 4: The Nightmare Prince,7.2,87.2,-8.0
75.0,1900-10-08,The Alliance Alive HD Remastered,4.1,79.1,-34.0
82.0,1900-10-08,Yooka-Laylee and the Impossible Lair,7.1,89.1,-11.0
66.0,1900-10-04,Ghostbusters: The Video Game Remastered,6.3,72.3,-3.0
52.0,1900-10-01,ReadySet Heroes,7.3,59.3,21.0
55.0,1900-10-01,Tom Clancy's Ghost Recon: Breakpoint,2.6,57.6,-29.0
74.0,1900-10-01,Destiny 2: Shadowkeep,6.0,80.0,-14.0
70.0,1900-09-27,Code Vein,7.9,77.9,9.0
76.0,1900-09-27,Tropico 6,7.4,83.4,-2.0
75.0,1900-09-24,The Surge 2,6.9,81.9,-6.0
79.0,1900-09-24,FIFA 20,1.1,80.1,-68.0
53.0,1900-09-24,Contra: Rogue Corps,4.1,57.1,-12.0
71.0,1900-09-20,The Sojourn,6.5,77.5,-6.0
86.0,1900-09-20,Ni no Kuni: Wrath of the White Witch Remastered,7.9,93.9,-7.0
76.0,1900-09-19,Mutazione,6.8,82.8,-8.0
84.0,1900-09-19,Sayonara Wild Hearts,5.5,89.5,-29.0
80.0,1900-09-17,AI: The Somnium Files,7.4,87.4,-6.0
62.0,1900-09-17,Groundhog Day: Like Father Like Son,5.0,67.0,-12.0
60.0,1900-09-16,Massira,5.5,65.5,-5.0
78.0,1900-09-13,Borderlands 3,5.5,83.5,-23.0
58.0,1900-09-10,Utawarerumono Zan,3.6,61.6,-22.0
82.0,1900-09-10,The Walking Dead: The Telltale Definitive Series,5.8,87.8,-24.0
78.0,1900-09-10,Blasphemous,7.8,85.8,0.0
82.0,1900-09-10,eFootball PES 2020,8.6,90.6,4.0
78.0,1900-09-10,WRC 8 FIA World Rally Championship,5.9,83.9,-19.0
77.0,1900-09-10,NHL 20,4.4,81.4,-33.0
72.0,1900-09-10,GreedFall,8.1,80.1,9.0
70.0,1900-09-10,NASCAR Heat 4,4.8,74.8,-22.0
89.0,1900-09-06,Monster Hunter: World - Iceborne,8.4,97.4,-5.0
78.0,1900-09-06,NBA 2K20,0.7,78.7,-71.0
